,name,iso,2016,2017,2018,2019,Estimated net-import
0,Aruba,ABW,0,0,0,0,0.0
1,Afghanistan,AFG,4.299999999999999,4.599999999999999,5,4.9,4.7
2,Angola,AGO,0,0,0,0,0.0
3,Albania,ALB,1.8,2.899999999999999,-0.9,2.399999999999999,1.55
4,United Arab Emirates,ARE,0.5999999999999991,-0.1,(s),(s),0.25
5,Argentina,ARG,9.5,10,9.6,11,10.03
6,Armenia,ARM,-1,-1.1,-1.399999999999999,-1,-1.12
7,American Samoa,ASM,0,0,0,0,0.0
8,Antarctica,ATA,0,0,0,0,0.0
9,Antigua and Barbuda,ATG,0,0,0,0,0.0
10,Australia,AUS,0,0,0,0,0.0
11,Austria,AUT,7.2,6.5,8.9,3.1,6.43
12,Azerbaijan,AZE,-1,-1.2,-1.3,-1.399999999999999,-1.22
13,Burundi,BDI,0.1,0.1,0.1,0.1,0.1
14,Belgium,BEL,6.2,6,17,-1.899999999999999,6.83
15,Benin,BEN,1.1,1.1,1.3,1.1,1.15
16,Burkina Faso,BFA,0.5999999999999991,0.5999999999999991,0.8,1.1,0.77
17,Bangladesh,BGD,3.799999999999999,4.7,4.799999999999999,6.799999999999999,5.02
18,Bulgaria,BGR,-6.4,-5.5,-7.799999999999999,-5.799999999999999,-6.38
19,Bahrain,BHR,(s),(s),0.2,0.2,0.2
20,The Bahamas,BHS,0,0,0,0,0.0
21,Bosnia and Herzegovina,BIH,-3.799999999999999,-1.8,-4.599999999999999,-3.7,-3.47
22,Belarus,BLR,3,2.6,-1,-2.299999999999999,0.58
23,Belize,BLZ,0.2,0.2,0.2,0.4,0.25
24,Bermuda,BMU,0,0,0,0,0.0
25,Bolivia,BOL,0,0,0,0,0.0
26,Brazil,BRA,41,36,35,25,34.25
27,Barbados,BRB,0,0,0,0,0.0
28,Brunei,BRN,0,0,0,0,0.0
29,Bhutan,BTN,-5.7,-5.599999999999999,-4.4,-6.099999999999999,-5.45
30,Botswana,BWA,1.7000000000000002,1.3,1.2,1.7000000000000002,1.48
31,Central African Republic,CAF,0,0,0,0,0.0
32,Canada,CAN,-64,-62,-48,-47,-55.25
33,Switzerland,CHE,3.899999999999999,5.599999999999999,-1.6,-6.299999999999999,0.4
34,Chile,CHL,(s),(s),0,0,0.0
35,China,CHN,-13,-13,-15,-17,-14.5
